title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Bill & Ted's Excellent Adventure (1989),10855,dvd,Metro-Goldwyn-Mayer,Comedy; Teen; Adventure; Sci-Fi,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/10855_medium.jpg?t=0,"Dec 04, 2001"
Blood Lake (1987),172085,dvd,AGFA,Horror,5.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/172085_medium.jpg?t=1546952871,"Apr 09, 2019"
Blood Shack (1971),65758,dvd,Shriek Show,Horror,6.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/65758_medium.jpg?t=1380614278,"May 25, 2004"
Blood Tracks (1985),69085,dvd,No title given.,Horror; Thriller,6.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/69085_medium.jpg?t=1382632027,NA
Blue Gender: The Warrior (2002),100391,dvd,FUNimation Entertainment,Action; Adventure; Anime; Drama; Horror; Romance; Sci-Fi,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/100391_medium.jpg?t=1420598757,"Jul 20, 2004"
Bram Stoker's Dracula (1992),960,dvd,Sony Pictures,Horror; Thriller; Period; Fantasy; Romance; Drama,7.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/960_medium.jpg?t=0,"Oct 07, 1997"
Brotherhood of the Wolf (2001),20712,dvd,Universal Studios,Foreign; History; Melodrama; Mystery; Thriller; Adventure; Action; Horror,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/20712_medium.jpg?t=1414955132,"Aug 26, 2008"
The Burning Moon (1992),77010,dvd,Intervision Picture Corp,Horror; Foreign,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/77010_medium.jpg?t=1389606446,"Mar 13, 2012"
Butterfly Swords (1993),31336,dvd,Well Go USA,Action; Foreign; Martial arts; Period,6.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/31336_medium.jpg?t=1339227734,"Jul 10, 2012"
Caddyshack (1980),11222,dvd,Warner Bros.,Comedy; Sport,7.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/11222_medium.jpg?t=1377050340,"Jun 08, 2010"
The Call Of Cthulhu: The Celebrated Story By H.P. Lovecraft (2007),3408,dvd,Microcinema,Horror; Sci-Fi,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/3408_medium.jpg?t=1504071484,"May 29, 2007"
Carriers (2009),1493,dvd,Paramount Pictures,Horror; Thriller; Drama,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/1493_medium.jpg?t=1324301831,"Dec 29, 2009"
